Facility ID,casemixindex,cases,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating,Total Number of Discharges,Sum Predicted Readmissions,Sum Expected Readmissions,Total Excess Readmission Ratio
50099,1.8848,"3,028",1.054015,1.066037,0,Voluntary non-profit - Other,Voluntary non-profit,Other,4,1055,195.538142,198.760019,0.9838
50100,2.1606,"5,085",0.984151,0.963421,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1099,201.073418,200.10752,1.0048
50101,1.8144,"1,397",1.009364,0.988542,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,339,61.814663,63.734494,0.9699
50102,1.8689,857,1.21395,1.141153,0,Proprietary,Proprietary,,2,191,41.126903,37.35619,1.1009
50103,1.9529,"1,618",1.068018,1.034743,0,Voluntary non-profit - Church,Voluntary non-profit,Church,2,266,60.755056,57.031642,1.0653
50104,1.8464,"1,631",1.071637,1.053525,0,Voluntary non-profit - Church,Voluntary non-profit,Church,3,375,80.099426,82.983477,0.9652
50107,1.8023,"4,415",0.919149,0.922509,5,Voluntary non-profit - Church,Voluntary non-profit,Church,4,1668,225.143601,232.87777,0.9668
50108,2.6086,"5,813",0.9736,0.976793,1,Voluntary non-profit - Private,Voluntary non-profit,Private,4,2079,289.918151,295.429368,0.9813
50110,1.5311,976,1.004285,1.005416,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,166,27.999772,28.123679,0.9956
50112,1.973,"4,467",1.055164,1.055821,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1266,198.914818,195.727955,1.0163
50115,1.9697,"3,452",1.01749,1.046616,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,928,160.66603,160.912869,0.9985
50118,1.6173,930,0.957993,0.933643,4,Voluntary non-profit - Other,Voluntary non-profit,Other,1,388,71.642694,69.919782,1.0246
50121,1.7202,"2,579",0.955747,0.993242,0,Voluntary non-profit - Private,Voluntary non-profit,Private,1,909,170.547335,166.502035,1.0243
50122,2.0616,835,1.018542,0.969881,2,Voluntary non-profit - Other,Voluntary non-profit,Other,3,183,35.343791,34.58347,1.022
50124,1.6624,"1,985",1.084086,1.035391,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,568,112.384147,107.318063,1.0472
50125,1.9452,"3,017",0.968977,0.956842,2,Government - Federal,Government,Federal,3,1096,222.801575,199.40465,1.1173
50126,2.0387,"1,728",1.112751,1.109858,0,Voluntary non-profit - Other,Voluntary non-profit,Other,2,507,111.018472,104.91764,1.0581
50127,1.933,655,0.902267,0.965742,2,Voluntary non-profit - Other,Voluntary non-profit,Other,3,142,24.786752,24.744116,1.0017
50128,2.1825,"1,799",0.997091,0.988836,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,686,112.651968,117.607854,0.9579
50131,1.6002,852,0.895418,0.911843,5,Voluntary non-profit - Other,Voluntary non-profit,Other,5,197,34.608763,34.636554,0.9992
50132,1.9409,"1,504",1.265463,1.143988,0,Proprietary,Proprietary,,4,665,127.662146,138.298467,0.9231
50133,1.8022,"4,566",0.973503,1.034732,0,Government - Federal,Government,Federal,2,1761,329.594828,331.929107,0.993
50135,1.6966,"4,445",1.304259,1.219526,0,Proprietary,Proprietary,,3,1019,234.527065,220.991433,1.0612
50136,1.642,796,0.959174,0.968157,2,Voluntary non-profit - Other,Voluntary non-profit,Other,3,305,58.452245,62.620157,0.9334
50145,1.9958,"4,846",0.917778,0.950459,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1909,272.266851,280.907249,0.9692
50150,1.5828,"1,845",0.923975,0.916788,5,Voluntary non-profit - Other,Voluntary non-profit,Other,3,660,112.87292,114.241374,0.988
50152,1.9081,683,1.009419,1.074635,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,270,52.837547,51.877197,1.0185
50158,1.8021,590,1.107182,1.125093,0,Proprietary,Proprietary,,4,213,47.0493,46.278855,1.0166
50159,1.5601,"1,489",0.97277,0.98957,0,Government - Local,Government,Local,2,173,30.45922,31.155049,0.9777
50167,1.8259,"1,202",1.021867,1.014427,0,Government - Local,Government,Local,1,145,27.487713,25.938748,1.0597
50168,2.177,"3,386",1.040707,1.027614,0,Voluntary non-profit - Church,Voluntary non-profit,Church,4,1016,185.490102,191.966722,0.9663
50169,1.9327,"3,357",0.949648,0.971267,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,916,185.118016,176.695886,1.0477
50174,2.0815,"4,240",0.98308,1.015463,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1332,217.660197,245.738375,0.8857
50179,1.778,"2,395",1.030335,0.925072,4,Proprietary,Proprietary,,1,1130,214.210383,199.831029,1.072
50180,1.9882,"6,070",0.962518,0.965517,2,Voluntary non-profit - Other,Voluntary non-profit,Other,4,2276,307.640079,315.781071,0.9742
50194,1.5473,"1,109",0.991904,0.932151,4,Proprietary,Proprietary,,1,379,64.63848,61.708236,1.0475
50195,1.82,"3,428",0.999152,1.010578,0,Government - Hospital District or Authority,Government,Hospital District or Authority,2,2111,311.125025,268.671196,1.158
50197,2.2593,"1,624",0.956479,0.949834,3,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1126,93.154794,100.754712,0.9246
50204,2.0435,"1,381",1.045378,1.031691,0,Proprietary,Proprietary,,2,390,82.309447,79.086447,1.0408
