Facility ID,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points
30073,0.800403,0.862257,8,0
30083,0.971714,0.949268,3,1
30085,0.966979,1.005253,0,0
30087,1.010847,1.003919,0,0
30088,1.000706,0.967581,2,2
30089,0.992318,1.009121,0,0
30092,1.010825,0.989124,0,1
30093,0.94001,0.918663,5,2
30094,1.035812,1.015543,0,1
30101,0.893963,0.837003,10,9
30103,0.937141,0.968563,2,0
30105,0.986555,0.997817,0,0
30110,1.010511,1.002553,0,0
30111,0.913086,0.925608,4,0
30114,0.95175,0.957382,2,0
30115,0.941631,0.946811,3,0
30117,0.938991,0.808147,10,9
30119,0.998009,0.987965,0,0
30121,0.972752,0.971699,2,0
30122,0.994109,1.015185,0,0
30123,0.952348,0.93931,4,1
30130,0.900574,0.929947,4,0
30134,0.871652,0.845736,9,9
30139,0.994016,1.001289,0,0
40001,0.968161,0.972275,1,0
40002,1.00693,1.030124,0,0
40004,0.984203,0.992728,0,0
40007,0.993751,0.985401,1,0
40010,0.958406,1.025645,0,0
40011,0.850208,0.873934,8,0
40014,1.00403,1.035677,0,0
40016,1.005373,1.003005,0,0
40017,0.964453,0.99016,0,0
40019,0.900034,0.851738,9,8
40020,1.060768,1.08473,0,0
40022,1.011801,1.067471,0,0
40026,1.053765,1.049288,0,0
40027,0.968185,0.985377,1,0
40029,1.032055,1.035633,0,0
40036,0.986912,1.035989,0,0
40039,1.079552,1.083903,0,0
40041,0.998021,1.011713,0,0
40051,0.879339,0.96372,2,0
40055,1.039159,1.053588,0,0
40062,1.033857,1.068598,0,0
40067,1.046866,0.930276,4,5
40069,0.929858,1.096606,0,0
40071,1.080487,1.056134,0,1
40072,0.90631,0.921067,5,0
40078,1.030806,1.063374,0,0
40084,1.007228,1.030511,0,0
40088,1.047017,1.06549,0,0
40114,1.013723,1.067223,0,0
40118,1.016239,1.025937,0,0
40119,1.011723,1.040088,0,0
40134,0.951265,0.956241,2,0
40137,1.110891,1.125097,0,0
40154,0.927584,0.964893,2,0
50006,0.941843,0.954664,3,0
50007,0.95589,0.958519,2,0
50008,0.963521,1.005954,0,0
50009,0.919497,0.964298,2,0
50013,0.968404,1.027634,0,0
50014,0.914981,0.940399,3,0
50017,0.954851,0.963191,2,0
50022,1.065151,1.028439,0,1
50024,1.038927,1.048508,0,0
50025,1.020057,1.032567,0,0
50026,1.017272,1.028394,0,0
50028,0.953982,0.824088,10,9
