Facility ID,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate
30084,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30084,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30084,READM-30-HF-HRRP,N/A,0.9922,16.6216,16.7528
30084,READM-30-PN-HRRP,N/A,1.0226,11.4996,11.2458
30084,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30084,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30085,READM-30-HIP-KNEE-HRRP,N/A,1.0256,4.1074,4.0049
30085,READM-30-HF-HRRP,326,0.949,18.203,19.1821
30085,READM-30-COPD-HRRP,150,1.0728,18.4243,17.1733
30085,READM-30-AMI-HRRP,183,0.9984,12.6143,12.6351
30085,READM-30-CABG-HRRP,N/A,1.1138,11.5492,10.3691
30085,READM-30-PN-HRRP,336,0.9587,15.2011,15.8553
30087,READM-30-HF-HRRP,575,0.9865,19.4569,19.7234
30087,READM-30-HIP-KNEE-HRRP,768,1.0672,3.893,3.6478
30087,READM-30-COPD-HRRP,159,1.0261,18.2566,17.7926
30087,READM-30-AMI-HRRP,227,0.9911,12.5365,12.6497
30087,READM-30-CABG-HRRP,107,1.2329,12.4424,10.0923
30087,READM-30-PN-HRRP,634,1.0734,16.8418,15.6897
30088,READM-30-HF-HRRP,384,0.995,20.6583,20.7617
30088,READM-30-HIP-KNEE-HRRP,N/A,0.894,3.8404,4.2956
30088,READM-30-COPD-HRRP,196,0.9294,16.0742,17.2945
30088,READM-30-PN-HRRP,728,0.9088,15.2535,16.7846
30088,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30088,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30089,READM-30-HIP-KNEE-HRRP,N/A,1.03,4.5389,4.4069
30089,READM-30-HF-HRRP,366,0.9385,20.8224,22.1871
30089,READM-30-COPD-HRRP,117,0.9597,18.1143,18.8753
30089,READM-30-PN-HRRP,500,0.993,17.7067,17.8322
30089,READM-30-AMI-HRRP,173,0.917,13.6021,14.8328
30089,READM-30-CABG-HRRP,N/A,1.0273,12.1144,11.7924
30092,READM-30-HIP-KNEE-HRRP,N/A,0.9361,3.5035,3.7427
30092,READM-30-HF-HRRP,222,0.942,18.3846,19.5161
30092,READM-30-COPD-HRRP,120,0.9873,17.4733,17.6978
